"leadId","groupCode","taalkMarket","state","campaignId","campaignName","requestNo","status","inserted","updated","error"
"21049246","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"21049678","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"21047016","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"21047280","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"21047432","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"21047672","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"21048264","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"21049925","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20977520","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20977918","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20978699","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20979706","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20980293","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20980438","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20980526","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20981075","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20981276","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20981525","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20981705","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20981875","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20982105","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20980377","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20982460","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20982364","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20980647","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20982051","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20982231","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"20982622","PAVET","Veteran","CA","67770e71e345699491e6a727","Veteran - PAVET - CA","2","success","0","76",""
"21050180","PAVET","Veteran","CO","67770f14e345699491e6b502","Veteran - PAVET - CO","3","success","0","50",""
"21053208","PAVET","Veteran","CO","67770f14e345699491e6b502","Veteran - PAVET - CO","3","success","0","50",""
"21054411","PAVET","Veteran","CO","67770f14e345699491e6b502","Veteran - PAVET - CO","3","success","0","50",""
"21054831","PAVET","Veteran","CO","67770f14e345699491e6b502","Veteran - PAVET - CO","3","success","0","50",""
"21054841","PAVET","Veteran","CO","67770f14e345699491e6b502","Veteran - PAVET - CO","3","success","0","50",""
