QueueName,QueueID,Extension,MemberCount,AgentEmail,AgentID,AgentName,AgentRoles,Markets,State,MarketType
WOMENS-IL,63020000000039811,,0,,,,,,Active,
WOMENS-IN,63020000000039827,,0,,,,,,Active,
WOMENS-IA,63020000000039843,,0,,,,,,Active,
WOMENS-KS,63020000000039859,,0,,,,,,Active,
WOMENS-KY,63020000000039935,,0,,,,,,Active,
WOMENS-LA,63020000000039951,,0,,,,,,Active,
WOMENS-ME,63020000000039971,,0,,,,,,Active,
WOMENS-MD,63020000000039987,,0,,,,,,Active,
WOMENS-MA,63020000000042003,,0,,,,,,Active,
WOMENS-MI,63020000000042019,,0,,,,,,Active,
WOMENS-MN,63020000000042035,,0,,,,,,Active,
WOMENS-MS,63020000000042051,,0,,,,,,Active,
WOMENS-MO,63020000000042067,,0,,,,,,Active,
WOMENS-MT,63020000000042083,,0,,,,,,Active,
WOMENS-NE,63020000000042099,,0,,,,,,Active,
WOMENS-NV,63020000000042117,,0,,,,,,Active,
WOMENS-NH,63020000000042133,,0,,,,,,Active,
WOMENS-NJ,63020000000042165,,0,,,,,,Active,
WOMENS-NM,63020000000042179,,0,,,,,,Active,
WOMENS-NY,63020000000042195,,0,,,,,,Active,
WOMENS-NC,63020000000042209,,0,,,,,,Active,
WOMENS-ND,63020000000042223,,0,,,,,,Active,
WOMENS-OH,63020000000042241,,0,,,,,,Active,
WOMENS-OK,63020000000042255,,0,,,,,,Active,
WOMENS-OR,63020000000042271,,0,,,,,,Active,
WOMENS-PA,63020000000042287,,0,,,,,,Active,
WOMENS-RI,63020000000042303,,0,,,,,,Active,
WOMENS-SC,63020000000042319,,0,,,,,,Active,
WOMENS-SD,63020000000042335,,0,,,,,,Active,
WOMENS-TN,63020000000042351,,0,,,,,,Active,
WOMENS-TX,63020000000042365,,0,,,,,,Active,
WOMENS-UT,63020000000042379,,0,,,,,,Active,
WOMENS-VT,63020000000042393,,0,,,,,,Active,
WOMENS-VA,63020000000042407,,0,,,,,,Active,
WOMENS-WA,63020000000042421,,0,,,,,,Active,
WOMENS-WV,63020000000042435,,0,,,,,,Active,
WOMENS-WI,63020000000042449,,0,,,,,,Active,
WOMENS-WY,63020000000042463,,0,,,,,,Active,
WILLKIT-AK,63020000000033585,,0,,,,,,Active,
WILLKIT-AL,63020000000033347,,0,,,,,,Active,
WILLKIT-AR,63020000000033797,,0,,,,,,Active,
WILLKIT-AZ,63020000000033781,,0,,,,,,Active,
WILLKIT-CA,63020000000033833,,0,,,,,,Active,
WILLKIT-CO,63020000000033849,,0,,,,,,Active,
WILLKIT-CT,63020000000033865,,0,,,,,,Active,
WILLKIT-DC,63020000000056473,,0,,,,,,Active,
WILLKIT-DE,63020000000033881,,0,,,,,,Active,
WILLKIT-FL,63020000000033897,,0,,,,,,Active,
WILLKIT-GA,63020000000033913,,0,,,,,,Active,
WILLKIT-HI,63020000000033929,,0,,,,,,Active,
WILLKIT-IA,63020000000033993,,0,,,,,,Active,
WILLKIT-ID,63020000000033945,,0,,,,,,Active,
WILLKIT-IL,63020000000033961,,0,,,,,,Active,
WILLKIT-IN,63020000000033977,,0,,,,,,Active,
WILLKIT-KS,63020000000039009,,0,,,,,,Active,
WILLKIT-KY,63020000000039025,,0,,,,,,Active,
WILLKIT-LA,63020000000039041,,0,,,,,,Active,
WILLKIT-MA,63020000000039089,,0,,,,,,Active,
WILLKIT-MD,63020000000039073,,0,,,,,,Active,
WILLKIT-ME,63020000000039057,,0,,,,,,Active,
WILLKIT-MI,63020000000039105,,0,,,,,,Active,
WILLKIT-MN,63020000000039121,,0,,,,,,Active,
WILLKIT-MO,63020000000039153,,0,,,,,,Active,
WILLKIT-MS,63020000000039137,,0,,,,,,Active,
WILLKIT-MT,63020000000039169,,0,,,,,,Active,
WILLKIT-NC,63020000000039283,,0,,,,,,Active,
WILLKIT-ND,63020000000039299,,0,,,,,,Active,
WILLKIT-NE,63020000000039185,,0,,,,,,Active,
WILLKIT-NH,63020000000039217,,0,,,,,,Active,
WILLKIT-NJ,63020000000039233,,0,,,,,,Active,
WILLKIT-NM,63020000000039249,,0,,,,,,Active,
WILLKIT-NV,63020000000039201,,0,,,,,,Active,
WILLKIT-NY,63020000000039265,,0,,,,,,Active,
WILLKIT-OH,63020000000039315,,0,,,,,,Active,
WILLKIT-OK,63020000000039331,,0,,,,,,Active,
WILLKIT-OR,63020000000039347,,0,,,,,,Active,
WILLKIT-PA,63020000000039363,,0,,,,,,Active,
WILLKIT-RI,63020000000039379,,0,,,,,,Active,
WILLKIT-SC,63020000000039395,,0,,,,,,Active,
WILLKIT-SD,63020000000039411,,0,,,,,,Active,
WILLKIT-TN,63020000000039427,,0,,,,,,Active,
WILLKIT-TX,63020000000039445,,0,,,,,,Active,
WILLKIT-UT,63020000000039461,,0,,,,,,Active,
WILLKIT-VA,63020000000039493,,0,,,,,,Active,
WILLKIT-VT,63020000000039477,,0,,,,,,Active,
WILLKIT-WA,63020000000039509,,0,,,,,,Active,
WILLKIT-WI,63020000000039541,,0,,,,,,Active,
WILLKIT-WV,63020000000039525,,0,,,,,,Active,
WILLKIT-WY,63020000000039557,,0,,,,,,Active,
