name,id,queueStrategy,enableDefaultAnnouncements,queueWaitMusic_mode,queueWaitMusic_audioId
PAVET-AR,63020000000033159,round-robin,false,audio,
PAVET-AZ,63020000000033175,round-robin,false,audio,
PAVET-CA,63020000000032095,round-robin,false,audio,
PAVET-CO,63020000000032127,round-robin,false,audio,
PAVET-CT,63020000000032143,round-robin,false,audio,
PAVET-DC,63020000000041397,round-robin,false,audio,
PAVET-DE,63020000000032159,round-robin,false,audio,
PAVET-FL,63020000000032175,round-robin,false,audio,
PAVET-GA,63020000000032191,round-robin,false,audio,
PAVET-HI,63020000000032207,round-robin,false,audio,
PAVET-IA,63020000000032269,round-robin,false,audio,
PAVET-ID,63020000000032223,round-robin,false,audio,
PAVET-IL,63020000000032237,round-robin,false,audio,
PAVET-IN,63020000000032253,round-robin,false,audio,
PAVET-KS,63020000000032285,round-robin,false,audio,
PAVET-KY,63020000000032301,round-robin,false,audio,
PAVET-LA,63020000000032317,round-robin,false,audio,
PAVET-MA,63020000000032365,round-robin,false,audio,
PAVET-MD,63020000000032349,round-robin,false,audio,
PAVET-ME,63020000000032333,round-robin,false,audio,
PAVET-MI,63020000000032381,round-robin,false,audio,
PAVET-MN,63020000000032399,round-robin,false,audio,
PAVET-MO,63020000000032431,round-robin,false,audio,
PAVET-MS,63020000000032415,round-robin,false,audio,
PAVET-MT,63020000000032447,round-robin,false,audio,
PAVET-NC,63020000000032561,round-robin,false,audio,
PAVET-ND,63020000000032577,round-robin,false,audio,
PAVET-NE,63020000000032463,round-robin,false,audio,
PAVET-NH,63020000000032495,round-robin,false,audio,
PAVET-NJ,63020000000032511,round-robin,false,audio,
PAVET-NM,63020000000032527,round-robin,false,audio,
PAVET-NV,63020000000032479,round-robin,false,audio,
PAVET-NY,63020000000032543,round-robin,true,audio,
PAVET-OH,63020000000673571,round-robin,false,audio,
PAVET-OK,63020000000032625,round-robin,false,audio,
PAVET-OR,63020000000032641,round-robin,false,audio,872802830_1736912449549.mp3
PAVET-PA,63020000000032673,round-robin,false,audio,
PAVET-SC,63020000000032705,round-robin,false,audio,
PAVET-SD,63020000000032721,round-robin,false,audio,
PAVET-TN,63020000000032737,round-robin,false,audio,
PAVET-TX,63020000000682209,round-robin,false,audio,
PAVET-UT,63020000000032769,round-robin,false,audio,
PAVET-VA,63020000000032801,round-robin,false,audio,
PAVET-VT,63020000000032785,round-robin,false,audio,
PAVET-WA,63020000000032817,round-robin,false,audio,
PAVET-WI,63020000000032849,round-robin,false,audio,
PAVET-WV,63020000000032833,round-robin,false,audio,
PAVET-WY,63020000000032865,round-robin,false,audio,
Queue - PAVET - Ohio,63020000000032609,ring-all,false,audio,
Queue - PAVET - Texas,63020000000032753,ring-all,false,audio,
Queue - WILL KITS - Tennessee,63020000000849285,round-robin,false,audio,
Queue richie and mike test,63020000000838081,round-robin,false,audio,872802830_1736912449549.mp3
RichieandMiketest - Direct,63020000000838067,round-robin,false,audio,872802830_1736912449549.mp3
Testing - Direct - PAVET - Ohio,63020000000681601,round-robin,false,audio,
WB - Alabama,63020000000039619,round-robin,false,audio,
WB - Alaska,63020000000039635,round-robin,false,audio,
WB - Arizona,63020000000039651,round-robin,false,audio,
WB - Arkansas,63020000000039667,round-robin,false,audio,
WB - California,63020000000039683,round-robin,false,audio,
WB - Colorado,63020000000039699,round-robin,false,audio,
WB - Connecticut,63020000000039715,round-robin,false,audio,
WB - DC,63020000000056291,round-robin,false,audio,
WB - Delaware,63020000000039731,round-robin,false,audio,
WB - Florida,63020000000039747,round-robin,false,audio,
WB - Georgia,63020000000039763,round-robin,false,audio,
WB - Hawaii,63020000000039779,round-robin,false,audio,
WB - Idaho,63020000000039795,round-robin,false,audio,
WB - Illinois,63020000000039811,round-robin,false,audio,
WB - Indiana,63020000000039827,round-robin,false,audio,
WB - Iowa,63020000000039843,round-robin,false,audio,
WB - Kansas,63020000000039859,round-robin,false,audio,
WB - Kentucky,63020000000039935,round-robin,false,audio,
WB - Louisiana,63020000000039951,round-robin,false,audio,
WB - Maine,63020000000039971,round-robin,false,audio,
WB - Maryland,63020000000039987,round-robin,false,audio,
WB - Massachusetts,63020000000042003,round-robin,false,audio,
WB - Michigan,63020000000042019,round-robin,false,audio,
WB - Minnesota,63020000000042035,round-robin,false,audio,
WB - Mississippi,63020000000042051,round-robin,false,audio,
WB - Missouri,63020000000042067,round-robin,false,audio,
WB - Montana,63020000000042083,round-robin,false,audio,
WB - Nebraska,63020000000042099,round-robin,false,audio,
WB - Nevada,63020000000042117,round-robin,false,audio,
WB - New Hampshire,63020000000042133,round-robin,false,audio,
WB - New Jersey,63020000000042165,round-robin,false,audio,
WB - New Mexico,63020000000042179,round-robin,false,audio,
WB - New York,63020000000042195,round-robin,false,audio,
WB - North Carolina,63020000000042209,round-robin,false,audio,
WB - North Dakota,63020000000042223,round-robin,false,audio,
WB - Ohio,63020000000042241,round-robin,false,audio,
WB - Oklahoma,63020000000042255,round-robin,false,audio,
WB - Oregon,63020000000042271,round-robin,false,audio,
WB - Pennsylvania,63020000000042287,round-robin,false,audio,
WB - Rhode Island,63020000000042303,round-robin,false,audio,
WB - South Carolina,63020000000042319,round-robin,false,audio,
WB - South Dakota,63020000000042335,round-robin,false,audio,
WB - Tennessee,63020000000042351,round-robin,false,audio,
WB - Texas,63020000000042365,round-robin,false,audio,
WB - Utah,63020000000042379,round-robin,false,audio,
WB - Vermont,63020000000042393,round-robin,false,audio,
WB - Virginia,63020000000042407,round-robin,false,audio,
WB - Washington,63020000000042421,round-robin,false,audio,
WB - West Virginia,63020000000042435,round-robin,false,audio,
WB - Wisconsin,63020000000042449,round-robin,false,audio,
WB - Wyoming,63020000000042463,round-robin,false,audio,
WILLKIT-AK,63020000000033585,round-robin,false,audio,
WILLKIT-AL,63020000000033347,round-robin,false,audio,
WILLKIT-AR,63020000000033797,round-robin,false,audio,
WILLKIT-AZ,63020000000033781,round-robin,false,audio,
WILLKIT-CA,63020000000033833,round-robin,false,audio,
WILLKIT-CO,63020000000033849,round-robin,false,audio,
WILLKIT-CT,63020000000033865,round-robin,false,audio,
WILLKIT-DC,63020000000056473,round-robin,false,audio,
WILLKIT-DE,63020000000033881,round-robin,false,audio,
WILLKIT-FL,63020000000033897,round-robin,false,audio,
WILLKIT-GA,63020000000033913,round-robin,false,audio,
WILLKIT-HI,63020000000033929,round-robin,false,audio,
WILLKIT-IA,63020000000033993,round-robin,false,audio,
WILLKIT-ID,63020000000033945,round-robin,false,audio,
WILLKIT-IL,63020000000033961,round-robin,false,audio,
WILLKIT-IN,63020000000033977,round-robin,false,audio,
WILLKIT-KS,63020000000039009,round-robin,false,audio,
WILLKIT-KY,63020000000039025,round-robin,false,audio,
WILLKIT-LA,63020000000039041,round-robin,false,audio,
WILLKIT-MA,63020000000039089,round-robin,false,audio,
WILLKIT-MD,63020000000039073,round-robin,false,audio,
WILLKIT-ME,63020000000039057,round-robin,false,audio,
WILLKIT-MI,63020000000039105,round-robin,false,audio,
WILLKIT-MN,63020000000039121,round-robin,false,audio,
WILLKIT-MO,63020000000039153,round-robin,false,audio,
WILLKIT-MS,63020000000039137,round-robin,false,audio,
WILLKIT-MT,63020000000039169,round-robin,false,audio,
WILLKIT-NC,63020000000039283,round-robin,false,audio,
WILLKIT-ND,63020000000039299,round-robin,false,audio,
WILLKIT-NE,63020000000039185,round-robin,false,audio,
WILLKIT-NH,63020000000039217,round-robin,false,audio,
WILLKIT-NJ,63020000000039233,round-robin,false,audio,
WILLKIT-NM,63020000000039249,round-robin,false,audio,
WILLKIT-NV,63020000000039201,round-robin,false,audio,
WILLKIT-NY,63020000000039265,round-robin,false,audio,
WILLKIT-OH,63020000000039315,round-robin,false,audio,
WILLKIT-OK,63020000000039331,round-robin,false,audio,
WILLKIT-OR,63020000000039347,round-robin,false,audio,
WILLKIT-PA,63020000000039363,round-robin,false,audio,
WILLKIT-RI,63020000000039379,round-robin,false,audio,
WILLKIT-SC,63020000000039395,round-robin,false,audio,
WILLKIT-SD,63020000000039411,round-robin,false,audio,
WILLKIT-TN,63020000000039427,round-robin,false,audio,
WILLKIT-TX,63020000000039445,round-robin,false,audio,
WILLKIT-UT,63020000000039461,round-robin,false,audio,
WILLKIT-VA,63020000000039493,round-robin,false,audio,
WILLKIT-VT,63020000000039477,round-robin,false,audio,
WILLKIT-WA,63020000000039509,round-robin,false,audio,
WILLKIT-WI,63020000000039541,round-robin,false,audio,
WILLKIT-WV,63020000000039525,round-robin,false,audio,
WILLKIT-WY,63020000000039557,round-robin,false,audio,
